"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.10.2021","336.103","336.348","336.446","334.104","0,06K","-0,07%"
"16.10.2021","336.348","338.400","341.300","330.989","0,06K","-0,61%"
"15.10.2021","338.400","317.533","342.490","315.084","0,27K","6,57%"
"14.10.2021","317.533","316.295","320.000","311.012","0,18K","0,20%"
"13.10.2021","316.900","311.370","318.500","303.485","0,20K","1,78%"
"12.10.2021","311.370","319.000","319.900","300.000","0,11K","-2,39%"
"11.10.2021","319.000","303.028","320.000","302.287","0,13K","5,27%"
"10.10.2021","303.028","303.629","309.950","301.000","0,05K","-0,20%"
"09.10.2021","303.629","298.500","305.000","298.500","0,04K","1,72%"
"08.10.2021","298.500","295.500","305.000","295.291","0,12K","1,02%"
"07.10.2021","295.500","295.700","301.700","290.084","0,17K","-0,07%"
"06.10.2021","295.700","280.450","302.000","274.000","0,35K","5,20%"
"05.10.2021","281.071","267.101","282.778","265.383","0,17K","5,23%"
"04.10.2021","267.101","257.058","267.250","251.553","0,12K","3,91%"
"03.10.2021","257.058","254.527","260.000","252.000","0,04K","0,99%"
"02.10.2021","254.527","256.718","257.500","251.300","0,04K","-0,85%"
"01.10.2021","256.718","237.050","258.500","234.670","0,18K","8,30%"
"30.09.2021","237.050","226.487","239.000","226.200","0,07K","4,66%"
"29.09.2021","226.487","223.972","231.500","223.465","0,04K","1,12%"
"28.09.2021","223.972","228.001","230.496","223.500","0,04K","-1,77%"
"27.09.2021","228.001","232.513","237.888","228.000","0,04K","-1,94%"
"26.09.2021","232.513","230.600","235.998","223.000","0,03K","0,83%"
"25.09.2021","230.600","230.399","232.135","225.750","0,02K","0,09%"
"24.09.2021","230.399","240.884","241.000","220.000","0,09K","-4,28%"
"23.09.2021","240.690","233.298","240.768","230.591","0,06K","3,17%"
"22.09.2021","233.298","215.659","234.174","215.005","0,06K","8,01%"
"21.09.2021","215.997","229.805","234.324","160.000","0,16K","-6,01%"
"20.09.2021","229.805","250.900","250.900","228.968","0,15K","-8,41%"
"19.09.2021","250.900","255.569","256.435","249.381","0,02K","-1,83%"
"18.09.2021","255.569","251.245","258.000","250.808","0,04K","1,72%"
"17.09.2021","251.245","251.831","253.200","248.259","0,03K","-0,24%"
"16.09.2021","251.849","252.051","253.625","247.500","0,04K","-0,08%"
"15.09.2021","252.051","246.216","254.000","246.001","0,05K","2,37%"
"14.09.2021","246.216","236.586","247.500","235.800","0,05K","4,07%"
"13.09.2021","236.586","245.031","247.000","230.662","0,10K","-3,45%"
"12.09.2021","245.031","241.042","246.664","238.600","0,02K","1,65%"
"11.09.2021","241.042","238.400","244.998","238.400","0,02K","1,11%"
"10.09.2021","238.400","246.012","248.915","236.000","0,09K","-3,09%"
"09.09.2021","246.012","247.953","253.000","245.009","0,07K","-0,79%"
"08.09.2021","247.959","251.997","257.000","241.000","0,13K","-1,60%"
"07.09.2021","251.997","273.400","274.926","240.000","0,21K","-7,83%"
"06.09.2021","273.400","268.390","273.471","265.000","0,08K","1,87%"
"05.09.2021","268.390","260.027","269.300","258.332","0,04K","3,22%"
"04.09.2021","260.027","259.869","262.000","257.000","0,08K","0,06%"
"03.09.2021","259.869","256.000","263.999","252.500","0,09K","1,51%"
"02.09.2021","256.000","251.875","260.000","251.510","0,07K","1,64%"
"01.09.2021","251.875","246.233","253.352","242.300","0,06K","2,29%"
"31.08.2021","246.233","245.600","252.830","244.000","0,07K","0,24%"
"30.08.2021","245.645","255.000","256.279","245.500","0,05K","-3,67%"
"29.08.2021","255.000","255.270","259.000","251.500","0,03K","-0,11%"
"28.08.2021","255.270","256.990","258.100","253.002","0,01K","-0,67%"
"27.08.2021","256.990","249.316","257.775","247.000","0,06K","3,08%"
"26.08.2021","249.316","258.385","259.445","245.472","0,08K","-3,51%"
"25.08.2021","258.385","253.000","259.860","250.600","0,08K","2,13%"
"24.08.2021","253.000","268.211","269.794","252.830","0,11K","-5,67%"
"23.08.2021","268.211","266.073","271.500","265.963","0,08K","0,80%"
"22.08.2021","266.073","264.000","266.500","260.500","0,03K","0,79%"
"21.08.2021","264.000","265.000","267.500","260.060","0,05K","-0,38%"
"20.08.2021","265.000","252.000","265.000","250.406","0,12K","5,16%"
"19.08.2021","252.000","242.363","253.000","239.500","0,09K","3,98%"
"18.08.2021","242.363","239.270","247.342","237.115","0,05K","1,29%"
"17.08.2021","239.270","244.531","249.000","237.429","0,07K","-2,15%"
"16.08.2021","244.531","249.718","253.005","243.168","0,09K","-2,08%"
"15.08.2021","249.718","248.246","249.800","243.468","0,04K","0,59%"
"14.08.2021","248.246","251.772","251.772","244.001","0,05K","-1,40%"
"13.08.2021","251.772","235.138","251.772","234.708","0,09K","7,18%"
"12.08.2021","234.905","240.195","242.599","230.382","0,09K","-2,20%"
"11.08.2021","240.195","237.598","244.400","237.373","0,07K","1,09%"
"10.08.2021","237.598","243.481","244.900","233.573","0,12K","-2,42%"
"09.08.2021","243.481","231.187","244.000","225.169","0,16K","5,32%"
"08.08.2021","231.187","235.000","238.000","227.190","0,10K","-1,62%"
"07.08.2021","235.000","223.399","235.000","222.865","0,12K","5,19%"
"06.08.2021","223.399","213.500","225.445","208.145","0,17K","4,64%"
"05.08.2021","213.500","206.721","214.737","195.000","0,15K","3,28%"
"04.08.2021","206.721","199.760","208.000","196.000","0,09K","3,48%"
"03.08.2021","199.760","203.363","206.262","197.132","0,08K","-2,28%"
"02.08.2021","204.417","207.934","209.364","201.630","0,10K","-1,69%"
"01.08.2021","207.934","215.500","218.860","206.005","0,08K","-3,51%"
"31.07.2021","215.500","219.300","219.501","214.000","0,08K","-1,73%"
"30.07.2021","219.300","204.970","219.300","197.100","0,14K","6,99%"
"29.07.2021","204.970","206.000","209.150","201.638","0,07K","-0,50%"
"28.07.2021","206.000","204.236","211.140","202.094","0,13K","0,93%"
"27.07.2021","204.100","193.582","204.100","188.022","0,13K","5,43%"
"26.07.2021","193.582","183.200","209.396","183.200","0,30K","5,67%"
"25.07.2021","183.200","179.950","183.200","176.490","0,06K","3,97%"
"24.07.2021","176.206","175.000","176.564","174.000","0,07K","0,69%"
"23.07.2021","175.000","169.233","175.500","167.000","0,07K","3,41%"
"22.07.2021","169.233","168.481","169.859","165.313","0,05K","0,45%"
"21.07.2021","168.481","156.343","171.500","155.000","0,11K","7,76%"
"20.07.2021","156.343","163.447","163.705","155.003","0,12K","-4,35%"
"19.07.2021","163.447","164.764","164.764","160.000","0,05K","-0,80%"
"18.07.2021","164.764","163.303","167.980","162.528","0,03K","0,89%"
"17.07.2021","163.303","163.000","164.938","161.606","0,02K","0,19%"
"16.07.2021","163.000","163.855","166.418","161.100","0,05K","-0,52%"
"15.07.2021","163.855","168.564","170.500","161.600","0,07K","-2,79%"
"14.07.2021","168.564","170.670","171.522","166.100","0,07K","-1,23%"
"13.07.2021","170.670","173.915","174.115","168.030","0,08K","-1,88%"
"12.07.2021","173.941","180.057","181.950","171.000","0,07K","-3,40%"
"11.07.2021","180.057","178.000","181.900","177.001","0,03K","1,16%"
"10.07.2021","178.000","178.161","180.977","175.400","0,03K","-0,09%"
"09.07.2021","178.161","172.725","180.143","172.022","0,04K","2,09%"
"08.07.2021","174.508","178.430","178.430","171.877","0,08K","-2,20%"
"07.07.2021","178.430","177.490","183.000","177.490","0,08K","0,66%"
"06.07.2021","177.252","174.105","177.411","173.616","0,06K","1,81%"
"05.07.2021","174.105","179.249","179.249","170.001","0,09K","-2,87%"
"04.07.2021","179.249","175.543","179.880","175.543","0,04K","2,04%"
"03.07.2021","175.659","171.777","175.659","171.650","0,04K","2,26%"
"02.07.2021","171.777","170.045","171.777","168.811","0,04K","1,02%"
"01.07.2021","170.045","175.730","175.730","167.605","0,08K","-3,33%"
"30.06.2021","175.911","178.821","179.026","172.078","0,07K","-1,63%"
"29.06.2021","178.821","171.002","179.312","170.969","0,11K","4,79%"
"28.06.2021","170.648","173.002","173.906","169.600","0,06K","-1,36%"
"27.06.2021","173.002","161.161","173.002","161.161","0,07K","7,35%"
"26.06.2021","161.161","159.046","161.161","155.727","0,07K","1,33%"
"25.06.2021","159.046","171.999","171.999","159.046","0,14K","-7,53%"
"24.06.2021","171.999","169.428","173.947","164.000","0,07K","1,52%"
"23.06.2021","169.428","162.584","171.074","162.584","0,18K","4,21%"
"22.06.2021","162.584","160.202","167.000","160.202","0,25K","1,49%"
"21.06.2021","160.202","184.820","184.820","160.202","0,26K","-13,32%"
"20.06.2021","184.820","183.850","185.302","178.935","0,10K","0,53%"
"19.06.2021","183.850","184.515","187.000","183.550","0,04K","-0,24%"
"18.06.2021","184.300","193.200","193.559","181.722","0,11K","-4,61%"
"17.06.2021","193.200","195.508","199.900","191.005","0,07K","-1,18%"
"16.06.2021","195.508","204.480","204.480","195.508","0,10K","-4,39%"
"15.06.2021","204.480","207.100","207.510","204.480","0,10K","-1,27%"
"14.06.2021","207.100","199.301","207.100","199.100","0,14K","3,91%"
"13.06.2021","199.301","183.830","199.301","181.870","0,11K","8,42%"
"12.06.2021","183.830","191.800","191.800","183.329","0,06K","-4,16%"
"11.06.2021","191.800","187.550","192.000","187.550","0,08K","2,27%"
"10.06.2021","187.550","191.600","191.600","186.000","0,12K","-2,11%"
"09.06.2021","191.600","170.285","191.600","167.173","0,22K","12,52%"
"08.06.2021","170.285","170.338","170.338","167.250","0,23K","-0,03%"
"07.06.2021","170.338","182.621","184.778","170.338","0,10K","-6,73%"
"06.06.2021","182.621","180.500","184.966","180.500","0,03K","1,18%"
"05.06.2021","180.500","188.079","189.850","180.500","0,07K","-4,03%"
"04.06.2021","188.079","198.500","198.500","187.408","0,10K","-5,01%"
"03.06.2021","198.000","191.642","198.000","191.073","0,07K","3,32%"
"02.06.2021","191.642","189.998","193.500","188.000","0,10K","0,86%"
"01.06.2021","190.000","194.602","194.602","188.197","0,07K","-2,36%"
"31.05.2021","194.602","190.000","194.698","185.223","0,10K","2,42%"
"30.05.2021","190.000","184.152","193.000","184.152","0,05K","3,18%"
"29.05.2021","184.152","190.847","193.001","182.867","0,09K","-3,51%"
"28.05.2021","190.847","204.465","204.465","190.847","0,23K","-6,66%"
"27.05.2021","204.465","210.420","211.887","202.958","0,09K","-2,83%"
"26.05.2021","210.420","205.000","213.703","204.999","0,12K","2,64%"
"25.05.2021","205.000","209.426","211.599","199.800","0,13K","-2,11%"
"24.05.2021","209.426","192.794","209.426","192.190","0,22K","8,63%"
