"Time","Contracts","Funding Interval","Funding Rate"
"2021-10-16 21:00:00","BTCUSDT Perpetual","8h","0.0312%"
"2021-10-16 13:00:00","BTCUSDT Perpetual","8h","0.0433%"
"2021-10-16 05:00:00","BTCUSDT Perpetual","8h","0.0278%"
"2021-10-15 21:00:00","BTCUSDT Perpetual","8h","0.0480%"
"2021-10-15 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-15 05:00:00","BTCUSDT Perpetual","8h","0.0366%"
"2021-10-14 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-14 13:00:00","BTCUSDT Perpetual","8h","0.0172%"
"2021-10-14 05:00:00","BTCUSDT Perpetual","8h","0.0227%"
"2021-10-13 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-13 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-13 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-12 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-12 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-12 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-11 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-11 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-11 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-10 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-10 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-10 05:00:00","BTCUSDT Perpetual","8h","0.0209%"
"2021-10-09 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-09 13:00:00","BTCUSDT Perpetual","8h","0.0157%"
"2021-10-09 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-08 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-08 13:00:00","BTCUSDT Perpetual","8h","0.0134%"
"2021-10-08 05:00:00","BTCUSDT Perpetual","8h","0.0233%"
"2021-10-07 21:00:00","BTCUSDT Perpetual","8h","0.0333%"
"2021-10-07 13:00:00","BTCUSDT Perpetual","8h","0.0326%"
"2021-10-07 05:00:00","BTCUSDT Perpetual","8h","0.0291%"
"2021-10-06 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-06 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-06 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-05 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-05 13:00:00","BTCUSDT Perpetual","8h","0.0001%"
"2021-10-05 05:00:00","BTCUSDT Perpetual","8h","-0.0025%"
"2021-10-04 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-04 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-04 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-03 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-03 13:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-03 05:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-02 21:00:00","BTCUSDT Perpetual","8h","0.0100%"
"2021-10-02 13:00:00","BTCUSDT Perpetual","8h","0.0059%"
"2021-10-02 05:00:00","BTCUSDT Perpetual","8h","0.0035%"
