Dia,bitcoin: (Todo o mundo)
2021-01-01,28
2021-01-02,48
2021-01-03,56
2021-01-04,47
2021-01-05,39
2021-01-06,43
2021-01-07,63
2021-01-08,64
2021-01-09,49
2021-01-10,47
2021-01-11,70
2021-01-12,53
2021-01-13,47
2021-01-14,48
2021-01-15,41
2021-01-16,35
2021-01-17,31
2021-01-18,30
2021-01-19,30
2021-01-20,29
2021-01-21,36
2021-01-22,37
2021-01-23,28
2021-01-24,25
2021-01-25,26
2021-01-26,25
2021-01-27,27
2021-01-28,28
2021-01-29,44
2021-01-30,31
2021-01-31,27
2021-02-01,27
2021-02-02,26
2021-02-03,26
2021-02-04,29
2021-02-05,26
2021-02-06,31
2021-02-07,26
2021-02-08,58
2021-02-09,68
2021-02-10,47
2021-02-11,42
2021-02-12,42
2021-02-13,34
2021-02-14,37
2021-02-15,38
2021-02-16,44
2021-02-17,48
2021-02-18,43
2021-02-19,50
2021-02-20,54
2021-02-21,48
2021-02-22,55
2021-02-23,69
2021-02-24,54
2021-02-25,41
2021-02-26,42
2021-02-27,35
2021-02-28,37
2021-03-01,37
2021-03-02,34
2021-03-03,32
2021-03-04,28
2021-03-05,30
2021-03-06,26
2021-03-07,27
2021-03-08,28
2021-03-09,33
2021-03-10,32
2021-03-11,31
2021-03-12,30
2021-03-13,42
2021-03-14,39
2021-03-15,36
2021-03-16,33
2021-03-17,31
2021-03-18,31
2021-03-19,27
2021-03-20,26
2021-03-21,27
2021-03-22,28
2021-03-23,28
2021-03-24,31
2021-03-25,34
2021-03-26,28
2021-03-27,25
2021-03-28,25
2021-03-29,28
2021-03-30,29
2021-03-31,28
2021-04-01,31
2021-04-02,27
2021-04-03,25
2021-04-04,24
2021-04-05,26
2021-04-06,25
2021-04-07,25
2021-04-08,24
2021-04-09,23
2021-04-10,27
2021-04-11,24
2021-04-12,25
2021-04-13,35
2021-04-14,39
2021-04-15,33
2021-04-16,35
2021-04-17,29
2021-04-18,52
2021-04-19,41
2021-04-20,35
2021-04-21,31
2021-04-22,34
2021-04-23,52
2021-04-24,39
2021-04-25,34
2021-04-26,36
2021-04-27,32
2021-04-28,29
2021-04-29,26
2021-04-30,26
2021-05-01,26
2021-05-02,24
2021-05-03,27
2021-05-04,28
2021-05-05,27
2021-05-06,27
2021-05-07,25
2021-05-08,24
2021-05-09,25
2021-05-10,27
2021-05-11,25
2021-05-12,27
2021-05-13,68
2021-05-14,40
2021-05-15,32
2021-05-16,35
2021-05-17,50
2021-05-18,38
2021-05-19,100
2021-05-20,75
2021-05-21,60
2021-05-22,49
2021-05-23,61
2021-05-24,56
2021-05-25,46
2021-05-26,38
2021-05-27,34
2021-05-28,35
2021-05-29,35
2021-05-30,33
2021-05-31,31
2021-06-01,30
2021-06-02,30
2021-06-03,30
2021-06-04,32
2021-06-05,29
2021-06-06,31
2021-06-07,29
2021-06-08,43
2021-06-09,37
2021-06-10,33
2021-06-11,27
2021-06-12,23
2021-06-13,24
2021-06-14,32
2021-06-15,26
2021-06-16,24
2021-06-17,21
2021-06-18,23
2021-06-19,20
2021-06-20,22
2021-06-21,32
2021-06-22,43
2021-06-23,31
2021-06-24,26
2021-06-25,26
2021-06-26,25
2021-06-27,24
2021-06-28,24
2021-06-29,23
2021-06-30,21
2021-07-01,20
2021-07-02,19
2021-07-03,18
2021-07-04,19
2021-07-05,18
2021-07-06,18
2021-07-07,17
2021-07-08,19
2021-07-09,17
2021-07-10,16
2021-07-11,16
2021-07-12,17
2021-07-13,18
2021-07-14,17
2021-07-15,54
2021-07-16,53
2021-07-17,49
2021-07-18,50
2021-07-19,59
2021-07-20,74
2021-07-21,67
2021-07-22,61
2021-07-23,54
2021-07-24,54
2021-07-25,57
2021-07-26,100
2021-07-27,74
2021-07-28,72
2021-07-29,60
2021-07-30,56
2021-07-31,61
2021-08-01,59
2021-08-02,56
2021-08-03,53
2021-08-04,53
2021-08-05,53
2021-08-06,59
2021-08-07,65
2021-08-08,66
2021-08-09,73
2021-08-10,69
2021-08-11,70
2021-08-12,65
2021-08-13,63
2021-08-14,61
2021-08-15,58
2021-08-16,57
2021-08-17,60
2021-08-18,56
2021-08-19,55
2021-08-20,61
2021-08-21,62
2021-08-22,57
2021-08-23,74
2021-08-24,63
2021-08-25,60
2021-08-26,54
2021-08-27,53
2021-08-28,48
2021-08-29,49
2021-08-30,50
2021-08-31,52
2021-09-01,50
2021-09-02,57
2021-09-03,53
2021-09-04,50
2021-09-05,50
2021-09-06,58
2021-09-07,100
2021-09-08,87
2021-09-09,66
2021-09-10,58
2021-09-11,51
2021-09-12,49
2021-09-13,55
2021-09-14,50
2021-09-15,51
2021-09-16,48
2021-09-17,62
2021-09-18,60
2021-09-19,56
2021-09-20,87
2021-09-21,89
2021-09-22,77
2021-09-23,70
2021-09-24,100
2021-09-25,77
2021-09-26,66
2021-09-27,70
2021-09-28,66
2021-09-29,62
2021-09-30,63
2021-10-01,75
2021-10-02,66
2021-10-03,63
2021-10-04,70
2021-10-05,84
2021-10-06,98
2021-10-07,86
2021-10-08,79
2021-10-09,70
2021-10-10,66
2021-10-11,86
2021-10-12,79
2021-10-13,74
2021-10-14,82
